County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Normalized_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Normalized_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Normalized_Covid,Proportional_allocation_to_SVI,SVI,Normalized_SVI,Proportional_allocation_to_YPLL,YPLL,Normalized_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Normalized_Unemployment,Proportional_allocation_to_Covid_capita,Covid_capita,Normalized_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Normalized_Covid_death_capita,Proportional_allocation_to_Covid_med,Covid_med,Normalized_Covid_med,Proportional_allocation_to_SVI_med,SVI_med,Normalized_SVI_med,Proportional_allocation_to_YPLL_med,YPLL_med,Normalized_YPLL_med,Proportional_allocation_to_Covid_capita_med,Covid_capita_med,Normalized_Covid_capita_med,Proportional_allocation_to_Covid_death_capita_med,Covid_death_capita_med,Normalized_Covid_death_capita_med,Proportional_allocation_to_Unemployment_med,Unemployment_med,Normalized_Unemployment_med
39093,921.8049949,49.2,0.18250336,387.171397,406.2012292,0.428624239,547.2953136,196,0.094680332,673.1181308,0.818181818,0.816091954,398.0675462,6506,0.463727679,1199.921983,379,0.216997965,240.6433656,63.25988516,0.087623433,430.8819053,326.9503249,0.190776912,477.389883,231.7706586,0.061098908,714.9983367,0.967502749,0.486208268,435.3943858,9791.127823,0.397330947,263.4098882,74.80502678,0.105989671,457.3249173,386.6198578,0.221429117,1032.086408,25202.69412,0.128446222
39099,919.4478801,556.0545455,0.182016839,523.2209386,548.9377316,0.652931901,544.5029906,195,0.094192289,724.5368769,0.880681818,0.879310345,438.9319682,6541,0.55859375,755.6023522,379,0.134648093,324.3741403,85.27087715,0.126226334,1946.714428,1477.153964,0.861925651,474.7588082,230.4932835,0.060759229,769.2996192,1.040980739,0.52359538,479.8931439,10791.81374,0.469307511,354.9160874,100.7916126,0.150797065,2065.333244,1746.020859,1,649.6472882,15863.84799,0.079853726
39103,284.7714246,28.69090909,0.051016061,206.171701,216.3052307,0.130206338,435.6023925,156,0.075158614,9.348862928,0.011363636,0,282.2048908,5127,0.194754464,607.758542,379,0.10724683,330.1496624,86.78913578,0.128889058,342.4002943,259.8110667,0.151600868,337.7137219,163.9585055,0.043066365,8.826316653,0.011943364,0,274.3453214,6169.464276,0.136834726,321.2003484,91.2167756,0.134287644,323.0038556,273.0656039,0.156393094,464.6234116,11345.71838,0.056344697
39107,85.442081,58.36363636,0.009873367,270.0609145,283.3346582,0.235541791,410.4714852,147,0.070766227,37.39545171,0.045454545,0.034482759,293.9353838,8373,0.221986607,104.9995072,379,0.014065842,1358.19105,357.0387642,0.602853151,569.7633653,432.3326533,0.252267951,305.7729124,148.4513849,0.038942726,33.92321944,0.045903335,0.017279531,274.5632821,6174.365765,0.137187276,1269.648725,360.5639389,0.598709735,516.4468881,436.6012322,0.250054992,77.12849287,1883.413829,0.007109814
39109,266.7401625,41.96363636,0.047294307,324.4511235,340.3981962,0.325216041,363.0019937,130,0.062469497,102.8374922,0.125,0.114942529,365.4721602,7985,0.388058036,279.0791193,380,0.046329629,462.2296885,121.51009,0.189782705,631.9210736,479.497509,0.279788846,280.4315364,136.1482599,0.035671091,96.74567956,0.130911788,0.060533581,354.0354189,7961.531323,0.265733142,448.1076692,127.2568255,0.196429732,594.0128035,502.1750115,0.287611118,212.596814,5191.437881,0.024322342
39111,55.33227035,24.8,0.003658533,527.363991,553.2844188,0.659762636,25.13090726,9,0.003416301,345.9079283,0.420454545,0.413793103,370.4720424,8001,0.399665179,40.87380282,380,0.002180832,250.7425883,65.91475026,0.092279538,2258.564211,1713.783507,1,18.60558145,9.032926799,0.001868702,311.8586948,0.421992792,0.208641582,343.9260648,7734.192657,0.249381301,232.9538453,66.15590156,0.091076409,2034.616903,1720.053441,0.985127659,29.83951034,728.6560951,0.001101303
39113,1917.333082,45.83636364,0.387985938,469.2814685,492.3470866,0.564000793,1761.955831,631,0.306979014,785.304486,0.954545455,0.954022989,537.7277179,5966,0.787946429,1683.201216,381,0.306568581,451.4595156,118.6788468,0.184817268,343.7928994,260.8677662,0.152217456,1803.969462,875.8191266,0.232363662,979.1168029,1.324895668,0.668057135,690.3529086,15524.62271,0.809725344,580.042312,164.7245704,0.261033526,428.2981448,362.080791,0.207374837,1699.34582,41496.61558,0.213227823
39117,109.5858611,14.23636364,0.014856778,403.6708168,423.5116107,0.45582717,117.2775672,42,0.019521718,140.2329439,0.170454545,0.16091954,361.7222485,5597,0.379352679,82.92990572,381,0.009975479,452.2470393,118.8858696,0.185180345,96.99085316,73.59601449,0.042943589,87.79480193,42.6239847,0.010801205,127.839825,0.172986951,0.081942289,339.5499322,7635.782401,0.242302924,424.8506498,120.6521306,0.185041581,88.3486181,74.68941418,0.042776931,61.21764151,1494.884035,0.00508819
39119,353.3541424,90.70909091,0.065171918,533.3585176,559.5735819,0.669645934,142.4084745,51,0.023914104,645.0715421,0.784090909,0.781609195,439.1242714,8207,0.559040179,219.7389152,381,0.035331559,225.0260709,59.15443948,0.080423297,19.87179064,15.07858261,0.008798417,111.8934438,54.32376782,0.0139124,617.2185224,0.835191618,0.418885643,432.6441343,9729.2803,0.392882426,221.8749861,63.00964777,0.085651478,18.99857099,16.06128276,0.009198792,170.2500898,4157.365996,0.018941791
39123,96.97463121,53.32727273,0.01225375,311.4060127,326.7119062,0.3037083,125.6545363,45,0.020985847,149.5818069,0.181818182,0.172413793,416.1440435,6665,0.505691964,123.8037085,381,0.017550999,422.4107713,111.0425663,0.171424751,1151.215748,873.534855,0.509711321,93.82458761,45.55141875,0.011579665,136.0127209,0.184046136,0.08756943,389.6339098,8762.068459,0.323313559,395.8039973,112.4032542,0.170818448,1045.948594,884.2389327,0.50643091,91.15567552,2225.945996,0.0088921
39125,57.40972743,35.94545455,0.004087332,400.1165606,419.7826595,0.449967195,19.5462612,7,0.002440215,336.5590654,0.409090909,0.402298851,363.212598,8185,0.3828125,46.67270322,382,0.003255596,142.6108916,37.48928877,0.042426933,0,0,0,14.47719033,7.028611324,0.001335717,303.5597176,0.410762999,0.202927633,337.3308503,7585.879793,0.238713568,132.5500758,37.64251995,0.041912185,0,0,0,34.08749667,832.3883982,0.00164105
39127,158.2862492,143.1454545,0.024908812,570.0579786,598.0768553,0.730153086,175.9163508,63,0.02977062,486.1408723,0.590909091,0.586206897,406.0481274,6103,0.482254464,93.51430646,382,0.011937184,663.2389193,174.3510267,0.282455198,182.3603627,138.3738307,0.080741722,132.9965982,64.56925513,0.01663687,447.5676848,0.605627934,0.302078919,384.9341204,8656.379822,0.315711668,629.2323284,178.6939036,0.285120161,167.7567095,141.8205584,0.081225008,69.71463366,1702.373536,0.006167813
39133,413.9466406,7.145454545,0.077678549,331.5688744,347.8657912,0.336951223,150.7854435,54,0.025378233,299.1636137,0.363636364,0.356321839,354.6070315,7373,0.362834821,465.2632321,383,0.080836855,126.4377519,33.23772359,0.034970533,680.5749439,516.4157424,0.301330793,119.8664807,58.19464166,0.014941739,289.6072091,0.391883109,0.193321156,353.4762598,7948.95698,0.264828704,126.1309892,35.81958174,0.038768982,658.308434,556.5301681,0.318741993,364.710811,8905.935532,0.043649859
39135,115.2455999,12.18181818,0.01602498,366.8462633,384.8770964,0.395113775,293.193918,105,0.050268424,130.884081,0.159090909,0.149425287,473.883068,6375,0.639732143,107.8145074,383,0.014587572,977.0182113,256.8367497,0.427118749,90.26146554,68.48979991,0.039964091,219.7396564,106.6826229,0.027835617,119.454516,0.161640338,0.076168899,445.3477338,10014.95823,0.413430448,918.8885549,260.9525535,0.426954713,82.31348533,69.5873476,0.03985482,79.67870266,1945.687837,0.007433842
39137,57.17002085,73.05454545,0.004037855,219.7153765,230.5145904,0.152536073,147.9931205,53,0.02489019,18.69772586,0.022727273,0.011494253,274.8973707,8184,0.177790179,77.18730533,383,0.008911149,595.4174844,156.5222527,0.251187075,860.1396685,652.6682614,0.38083472,109.6076113,53.21400633,0.013617293,16.86359776,0.022819042,0.005533769,255.2961954,5741.088456,0.10602284,553.3851089,157.1542669,0.247980423,775.1456051,655.3036414,0.375312608,56.37111593,1376.5359,0.004472394
39139,405.6368122,6.109090909,0.075963354,435.7039372,457.1191887,0.508640831,173.1240278,62,0.029282577,710.5135826,0.863636364,0.862068966,479.0271776,6344,0.651674107,336.8429233,384,0.05703553,194.670178,51.17453819,0.066428138,190.3604727,144.444261,0.084283844,137.4054396,66.70972796,0.017206062,686.7224161,0.929241079,0.466739943,476.739683,10720.89886,0.464206801,193.8887915,55.06192776,0.071947614,183.8393515,155.4167316,0.089011956,263.6243811,6437.488748,0.030805875
39141,299.260356,3.654545455,0.054006657,507.9702338,532.9374406,0.627787752,343.4557325,123,0.059053197,738.5601713,0.897727273,0.896551724,470.2293079,10224.21424,0.63125,209.9990145,385,0.033526373,610.3062259,160.4361777,0.25805132,128.9243474,97.82693763,0.057082436,267.0319466,129.6428189,0.03394117,699.2630769,0.946210522,0.475374344,458.4338918,10309.23912,0.434597256,595.4522655,169.1007994,0.268579242,121.9670502,103.1102435,0.059054417,160.9982947,3931.444832,0.017766263
